
 internal energy density (elem, integ.pnt.,eneset TOPO_ALL_ELEMENTS_DMST and time  0.1000000E+01

         1   1  1.087128E-04
         1   2  6.876367E-04
         1   3  1.477402E-04
         1   4  5.521277E-04
         1   5  4.082968E-02
         1   6  3.199746E-02
         1   7  2.872773E-02
         1   8  2.496326E-02
         2   1  3.986804E-04
         2   2  5.861290E-04
         2   3  7.857699E-04
         2   4  8.789501E-04
         2   5  2.458051E-02
         2   6  2.128191E-02
         2   7  1.945085E-02
         2   8  1.671813E-02
         3   1  3.172230E-03
         3   2  2.879323E-03
         3   3  4.447992E-03
         3   4  3.854817E-03
         3   5  4.462764E-02
         3   6  3.848913E-02
         3   7  3.491576E-02
         3   8  3.105717E-02
         4   1  5.039378E-03
         4   2  4.568909E-03
         4   3  5.626633E-03
         4   4  5.665361E-03
         4   5  2.982175E-02
         4   6  2.668775E-02
         4   7  2.421574E-02
         4   8  2.104694E-02
         5   1  1.790858E-02
         5   2  1.739201E-02
         5   3  1.958223E-02
         5   4  1.730357E-02
         5   5  6.554052E-02
         5   6  5.745856E-02
         5   7  5.125459E-02
         5   8  4.943623E-02
         6   1  7.249858E-03
         6   2  6.729693E-03
         6   3  6.600021E-03
         6   4  6.381994E-03
         6   5  1.362236E-02
         6   6  1.331683E-02
         6   7  1.188175E-02
         6   8  1.106448E-02
         7   1  5.916118E-03
         7   2  5.600998E-03
         7   3  5.820712E-03
         7   4  5.524608E-03
         7   5  1.122527E-02
         7   6  1.038595E-02
         7   7  1.037082E-02
         7   8  9.617889E-03
         8   1  4.906295E-03
         8   2  4.789697E-03
         8   3  3.948588E-03
         8   4  4.161406E-03
         8   5  1.011051E-02
         8   6  9.372806E-03
         8   7  9.294795E-03
         8   8  8.327855E-03
         9   1  1.486071E-02
         9   2  1.599400E-02
         9   3  1.788445E-02
         9   4  1.872547E-02
         9   5  2.421190E-02
         9   6  2.209843E-02
         9   7  1.749478E-02
         9   8  1.769957E-02
        10   1  1.861190E-02
        10   2  1.987331E-02
        10   3  1.912237E-02
        10   4  2.044603E-02
        10   5  1.418023E-02
        10   6  1.458499E-02
        10   7  1.080728E-02
        10   8  1.163521E-02
        11   1  1.991480E-02
        11   2  2.187299E-02
        11   3  1.583698E-02
        11   4  1.944597E-02
        11   5  9.161488E-03
        11   6  9.949552E-03
        11   7  8.455284E-03
        11   8  8.038060E-03
        12   1  5.047830E-02
        12   2  6.134350E-02
        12   3  4.859002E-02
        12   4  5.116331E-02
        12   5  3.134248E-02
        12   6  3.040809E-02
        12   7  2.397809E-02
        12   8  3.226051E-02
        13   1  1.175283E-02
        13   2  1.302667E-02
        13   3  1.064169E-02
        13   4  1.698288E-02
        13   5  5.135146E-03
        13   6  7.435732E-03
        13   7  3.892615E-03
        13   8  4.699473E-03
        14   1  2.239352E-02
        14   2  3.595784E-02
        14   3  1.446913E-02
        14   4  3.525180E-02
        14   5  1.272656E-02
        14   6  1.648015E-02
        14   7  7.820860E-03
        14   8  1.046469E-02
        15   1  2.088243E-02
        15   2  5.240305E-02
        15   3  1.381127E-02
        15   4  3.282120E-02
        15   5  4.054000E-02
        15   6  5.412394E-02
        15   7  2.301171E-02
        15   8  3.619113E-02
        16   1  9.065484E-03
        16   2  2.263215E-02
        16   3  4.922820E-03
        16   4  1.014375E-02
        16   5  1.677206E-02
        16   6  2.568581E-02
        16   7  1.059429E-02
        16   8  1.526867E-02
        17   1  6.022980E-03
        17   2  1.077675E-02
